zip_code,brand,product_name,price,sale_price,snap_eligible
94110,"Michele’s Granola","Michele's Granola - Cinnamon Raisin - Handmade Non-GMO Whole Grain Oats - Free of Gluten, Soy, Wheat, & Dairy",$7.79,$6.66,True
94110,"365 by Whole Foods Market","Organic White Basmati Indian Rice, 32 Ounce",$7.29,None,True
94110,"Vosges Haut-Chocolat","Vosges Haut-Chocolat Mo's Dark Chocolate Bacon Bar, 3oz",0.00,None,False
94110,"365 by Whole Foods Market","365 By Whole Foods Market Organic Sea Salt Roasted Seaweed 6 Count, 1.06 Oz",$4.99,None,True
94110,"Blue Dragon","Blue Dragon Spring Roll Wrapper oz, 4.7 Ounce",$3.49,$2.78,True
94110,"Marie Callender's","MARIE CALLENDERS Organic Corn Bread Mix, 16 OZ",0.00,None,False
94110,"HEARTBEAT HOT SAUCE CO.","Heartbeat Hot Sauce Co. | Pineapple Habanero, 6 oz.",0.00,None,False
94110,"365 by Whole Foods Market","365 By Whole Foods Market, Gluten Free Waffles, 8 Ounce",$5.99,None,True
94110,"365 by Whole Foods Market","Organic Yellow Cling Peach Slices, 15 Ounce",$2.49,None,True
94110,"De Cecco","De Cecco Elbows No. 81 Pasta, 16 Oz, Authentic, Slow Dried, Made with Durum Wheat, Versatile Pasta for Sauces & Recipes, Made in Italy",$3.39,None,True
94110,"STRONG ROOTS","Strong Roots Sweet Potato Hash Browns, 7 Frozen Patties, Vegan & Gluten Free, Low in Sugar, Salt & Saturated Fat, No Trans Fat",$5.99,$4.99,True
94110,"Edward & Sons","Edward & Sons Not Chicken Bouillon Cubes, 2.5 oz (PACK OF 1)",$2.69,None,True
94110,"Mamma Chia","Mamma Chia Organic Chia Beverage, Blackberry Hibiscus, 10 Ounce Chia Organic Beverage, USDA Organic, Non-GMO, Vegan, Gluten Free, and Kosher",$3.99,None,True
94110,"365 by Whole Foods Market","Organic Angel Hair Pasta, 16 Ounce",$1.89,None,True
94110,"Semifreddi","SEMIFREDDI Garlic Croutons, 5 OZ",0.00,None,False
94110,"Herb Pharm","Herb Pharm Certified Organic Chamomile Liquid Extract for Calming Nervous System Support - 1 Ounce (DCHAM01)",$18.49,None,False
94110,"365 by Whole Foods Market","365 by Whole Foods Market, Organic Honey Mustard, 8 Ounce",$2.49,None,True
94110,"365 by Whole Foods Market","Organic Coriander Ground, 1.52 oz",$3.99,None,True
